x,y,isovist,a_index
16.144,11.507,3.1409574e8,0.7855072
16.288,11.507,3.1409578e8,0.78559875
17.008,11.507,3.1409574e8,0.78530884
17.152,11.507,3.1409574e8,0.78515625
17.296,11.507,3.1409574e8,0.78544617
17.439999999999998,11.507,3.140958e8,0.7856064
17.584,11.507,3.1409578e8,0.7851639
17.727999999999998,11.507,3.1409578e8,0.7854996
17.872,11.507,3.140958e8,0.78546906
18.016,11.507,3.140958e8,0.78525543
18.16,11.507,3.1409578e8,0.78549194
18.304,11.507,3.1409578e8,0.78543854
18.448,11.507,3.140958e8,0.7852783
18.592,11.507,3.140958e8,0.78543854
18.736,11.507,3.140958e8,0.78549194
18.88,11.507,3.140958e8,0.7853699
19.024,11.507,3.1409574e8,0.7852707
19.168,11.507,3.1409574e8,0.785347
19.311999999999998,11.507,3.1409578e8,0.7853012
19.456,11.507,3.140958e8,0.78552246
19.599999999999998,11.507,3.140958e8,0.785347
19.744,11.507,3.1409584e8,0.7852936
19.887999999999998,11.507,3.1409578e8,0.78504944
20.032,11.507,3.140958e8,0.78551483
20.176,11.507,3.140958e8,0.7851181
21.04,11.507,3.140958e8,0.7853012
21.183999999999997,11.507,3.1409574e8,0.7854309
21.328,11.507,3.1409578e8,0.78530884
21.471999999999998,11.507,3.140958e8,0.78546906
21.616,11.507,3.140958e8,0.78517914
21.759999999999998,11.507,3.140958e8,0.7852402
21.903999999999996,11.507,3.1409574e8,0.7855911
22.048,11.507,3.1409578e8,0.78500366
22.192,11.507,3.1409578e8,0.785408
22.336,11.507,3.140958e8,0.78552246
22.479999999999997,11.507,3.1409578e8,0.78517914
22.624,11.507,3.1409574e8,0.7857361
22.767999999999997,11.507,3.140958e8,0.7851181
22.912,11.507,3.1409578e8,0.78531647
23.055999999999997,11.507,3.140958e8,0.78562164
23.2,11.507,3.1409574e8,0.7852478
23.343999999999998,11.507,3.140958e8,0.7856293
23.488,11.507,3.1409578e8,0.7856903
23.631999999999998,11.507,3.1409574e8,0.7853699
23.775999999999996,11.507,3.1409578e8,0.7852936
23.919999999999998,11.507,3.140958e8,0.7855377
24.064,11.507,3.140958e8,0.78471375
24.927999999999997,11.507,3.140958e8,0.78512573
25.071999999999996,11.507,3.1409574e8,0.7854767
25.215999999999998,11.507,3.140958e8,0.78564453
25.36,11.507,3.140958e8,0.78518677
25.503999999999998,11.507,3.140958e8,0.7856903
25.647999999999996,11.507,3.140958e8,0.7851715
25.791999999999998,11.507,3.1409574e8,0.78533936
25.936,11.507,3.1409574e8,0.7850189
26.08,11.507,3.1409574e8,0.7853546
26.223999999999997,11.507,3.1409578e8,0.78544617
26.367999999999995,11.507,3.1409574e8,0.7856293
26.511999999999997,11.507,3.140958e8,0.7856598
26.656,11.507,3.140958e8,0.78585815
26.799999999999997,11.507,3.1409578e8,0.785614
26.943999999999996,11.507,3.140958e8,0.7850952
27.087999999999997,11.507,3.1409578e8,0.7850189
27.232,11.507,3.1409574e8,0.7854767
27.375999999999998,11.507,3.1409578e8,0.7848053
27.519999999999996,11.507,3.1409578e8,0.78533936
27.663999999999994,11.507,3.1409584e8,0.7851105
27.807999999999996,11.507,3.140958e8,0.7854614
27.951999999999998,11.507,3.140958e8,0.78526306
28.815999999999995,11.507,3.1409578e8,0.78578186
28.959999999999997,11.507,3.1409578e8,0.78533936
29.103999999999996,11.507,3.1409574e8,0.7855377
29.247999999999998,11.507,3.140958e8,0.78575134
29.391999999999996,11.507,3.1409584e8,0.7852783
29.535999999999994,11.507,3.1409578e8,0.78567505
29.679999999999996,11.507,3.140958e8,0.78530884
29.823999999999998,11.507,3.140958e8,0.7855072
29.967999999999996,11.507,3.140958e8,0.7855377
30.111999999999995,11.507,3.1409584e8,0.78533936
30.255999999999997,11.507,3.140958e8,0.785614
30.4,11.507,3.1409574e8,0.78523254
30.543999999999997,11.507,3.140958e8,0.785614
30.687999999999995,11.507,3.140958e8,0.7851715
30.831999999999994,11.507,3.140958e8,0.7855377
30.975999999999996,11.507,3.140958e8,0.78570557
31.119999999999997,11.507,3.1409578e8,0.7853241
31.263999999999996,11.507,3.140958e8,0.78500366
31.407999999999994,11.507,3.1409574e8,0.78564453
31.551999999999996,11.507,3.140958e8,0.78530884
31.695999999999998,11.507,3.140958e8,0.7857361
31.839999999999996,11.507,3.1409578e8,0.7850952
32.70399999999999,11.507,3.1409578e8,0.78559875
32.848,11.507,3.140958e8,0.7856598
32.99199999999999,11.507,3.1409578e8,0.7858124
33.135999999999996,11.507,3.1409578e8,0.7856598
33.279999999999994,11.507,3.140958e8,0.78567505
33.42399999999999,11.507,3.140958e8,0.7848816
33.568,11.507,3.140958e8,0.7854614
33.711999999999996,11.507,3.1409578e8,0.78492737
33.855999999999995,11.507,3.1409584e8,0.78567505
34.0,11.507,3.140958e8,0.7853546
34.14399999999999,11.507,3.1409574e8,0.78575134
34.288,11.507,3.1409574e8,0.78533936
34.431999999999995,11.507,3.1409578e8,0.78526306
34.57599999999999,11.507,3.140958e8,0.78526306
34.72,11.507,3.1409578e8,0.7854309
34.86399999999999,11.507,3.1409574e8,0.7857666
35.007999999999996,11.507,3.1409574e8,0.78497314
35.151999999999994,11.507,3.140958e8,0.7853699
35.29599999999999,11.507,3.140957e8,0.78538513
35.44,11.507,3.1409578e8,0.78453064
35.583999999999996,11.507,3.1409578e8,0.7856293
35.727999999999994,11.507,3.140958e8,0.7850952
36.592,11.507,3.1409574e8,0.78515625
36.73599999999999,11.507,3.1409578e8,0.785614
36.879999999999995,11.507,3.1409578e8,0.7849579
37.023999999999994,11.507,3.140958e8,0.78507996
37.16799999999999,11.507,3.1409578e8,0.78578186
37.312,11.507,3.1409578e8,0.7855377
37.455999999999996,11.507,3.1409574e8,0.7856903
37.599999999999994,11.507,3.140958e8,0.78590393
37.74399999999999,11.507,3.140958e8,0.7849426
37.88799999999999,11.507,3.140958e8,0.7851105
38.032,11.507,3.1409574e8,0.78507996
38.175999999999995,11.507,3.140958e8,0.785614
38.31999999999999,11.507,3.140958e8,0.7847595
38.464,11.507,3.1409578e8,0.7853546
38.60799999999999,11.507,3.1409574e8,0.7852783
38.751999999999995,11.507,3.140958e8,0.7852173
38.895999999999994,11.507,3.140958e8,0.7854309
39.03999999999999,11.507,3.1409584e8,0.78515625
39.184,11.507,3.1409578e8,0.7858734
39.32799999999999,11.507,3.1409578e8,0.78533936
39.471999999999994,11.507,3.1409584e8,0.78556824
39.61599999999999,11.507,3.1409574e8,0.78523254
40.47999999999999,11.507,3.1409574e8,0.78538513
40.623999999999995,11.507,3.1409574e8,0.78541565
40.767999999999994,11.507,3.140958e8,0.7852936
40.91199999999999,11.507,3.1409574e8,0.7855072
41.056,11.507,3.140958e8,0.78544617
41.19999999999999,11.507,3.140958e8,0.785614
41.343999999999994,11.507,3.1409574e8,0.7858734
41.48799999999999,11.507,3.1409578e8,0.78526306
41.63199999999999,11.507,3.1409578e8,0.78518677
41.775999999999996,11.507,3.1409578e8,0.785141
41.919999999999995,11.507,3.1409578e8,0.78559875
42.06399999999999,11.507,3.140958e8,0.7854004
